query,strategy,config,use_query_enhancement,use_reranking,combination,gold_answer,rag_answer,correctness,faithfulness,completeness,conciseness,overall
איך משלמים ארנונה?,adaptive,adaptive,False,False,baseline,"עיריית חיפה מאפשרת לשלם ארנונה בכמה דרכים: באתר אינטרנט מאובטח בתשלום בכרטיס אשראי, בהוראת קבע מכרטיס אשראי (טופס מקוון), בהוראת קבע בבנק לאחר מילוי טופס חיוב חשבון, במוקד התשלומים הטלפוני 1-700-700-060 הפועל 24/7, ובקופת העירייה ובדלפקי אגף חיובי ארנונה.

ניתן לשלם את חשבונות הארנונה גם דרך פורטל התשלומים הארצי של הרשויות המקומיות, בתשלום מאובטח באמצעות כרטיס אשראי, ללא צורך בהרשמה וללא התקנת תוכנה.

תשלום הארנונה יכול להתבצע בתשלום אחד מראש, או בהסדר של 6 תשלומים במועדים קבועים במהלך השנה (1/1, 1/3, 1/5, 1/7, 1/9, 1/11). תשלום מראש עד 31 בדצמבר של השנה הקודמת מזכה בהנחה של 2% ועד 31 בינואר של שנת הכספים מזכה בהנחה של 1%. 

המוקד הטלפוני בנושא מיסים (ארנונה, מים ואגרת שירותים בחינוך) זמין לתושבים בטלפון 1-700-700-060: המענה הקולי הממוחשב לתשלומים פעיל 24 שעות ביממה, ומענה אנושי ניתן בימים א'–ה' בין 7:30 ל-14:30.","על בסיס המסמכים שסופקו לי, איני יודע כיצד משלמים ארנונה.

המסמכים הקיימים עוסקים בהחלטות משפטיות פרטניות של ועדת הערר לענייני ארנונה ובחיוב בהוצאות משפט בתיקים אלו, אך אינם מפרטים את דרכי התשלום השוטפות לתושב.",0.0,1.0,0.0,1.0,0.0
מה שעות הפעילות של המוקד העירוני?,adaptive,adaptive,False,False,baseline,"מוקד עירוני 106 של עיריית חיפה פועל 24 שעות ביממה והוא זמין לדיווח על מפגעים עירוניים בכל שעות היום והלילה.

ניתן ליצור קשר עם מוקד עירוני 106 בטלפון המקוצר 106 או במספר 04-8356356, והמוקד עומד לרשות התושבים 24 שעות ביממה.

שירותי הווטסאפ והמסנג'ר של המוקד העירוני פועלים בימי א'–ה' בין השעות 07:00–19:00, ובסופי שבוע וחגים (כולל שבתות) בין 07:00–14:00.","על סמך המסמכים שסופקו לי, אין בידי מידע לגבי שעות הפעילות של המוקד העירוני.",0.0,0.0,0.0,1.0,0.0
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,adaptive,adaptive,False,False,baseline,"טלפון ישיר למוקד: 106 או 04-8356356
מחוץ לחיפה 04-8356860/1/2/3

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב:

טלפון: 1-700-700-060
שעות מענה: ימים א’ – ה’ בין השעות 7:30 – 14:30.

כתובת: רח' חסן שוקרי 14 היכל העירייה, קומת כניסה, חדר 112.

מענה טלפוני: בין השעות 08:30 – 15:00.

טלפון: 04-8356865

פקס: 04-8356440","על בסיס המסמכים שסופקו, איני יודע מהו מספר הטלפון של המוקד העירוני הכללי, שכן מידע זה אינו מופיע בהם.

המסמכים מכילים רק פרטי קשר של אגף [אכיפה ופיקוח](https://www.haifa.muni.il/operation/enforcement/) בחלוקה לאזורים (כגון חבל הדר-עיר וחבל מערב חיפה).",0.0,0.0,0.0,1.0,0.0
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,adaptive,adaptive,False,False,baseline,"עיריית חיפה מזמינה אתכם לדווח על מפגעים עירוניים. אנו עומדים לרשותכם 24 שעות ביממה.

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב

שירותי הווטסאפ והמסנג'ר פועלים בימי א' - ה', בין השעות 07:00 - 19:00.
בסופי שבוע וחגים (כולל שבתות), בין השעות 07:00 - 14:00.","על בסיס המידע שסופק לי במסמכים, איני יודע את התשובה לשאלתך. המסמכים הקיימים עוסקים בחלוקה גיאוסטטיסטית ומפות העיר ואינם מכילים מידע על המוקד העירוני.",0.0,1.0,0.0,1.0,0.0
אם אני רוצה לשלם ארנונה — למי פונים?,adaptive,adaptive,False,False,baseline,"מוקד תשלומים – טלפון 1-700-700-060 (מענה אנושי: ימים א’ – ה’ בין השעות 07:30 – 14:30 | מענה ממוחשב: 24 שעות ביממה).

תשלום בהוראת קבע בבנק - יש למלא ולהחתים את סניף הבנק על טופס הוראה לחיוב חשבון הבנק.

באתר אינטרנט מאובטח - תשלום בכרטיס אשראי.","על סמך המידע המופיע במסמכים שסופקו, איני יודע את התשובה לשאלה זו.

המסמכים מכילים החלטות פרטניות של ועדת הערר לענייני ארנונה, אך לא מצוין בהם מידע כללי לגבי אופן ביצוע תשלום הארנונה או הגורם אליו יש לפנות לצורך כך.",0.0,1.0,0.0,1.0,0.0
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,adaptive,adaptive,False,False,baseline,"לפנות למוקד הארנונה / מוקד השירות לתושב עם פרטי הנכס והדייר החדש, כדי לעדכן את רישומי הארנונה.

אפשר לפנות באמצעות טלפון או דואר־אלקטרוני (אם קיים) לשירות הארנונה ולעדכן את שינוי המחזיק.

לפעמים יש צורך למלא טופס העברת בעלות / מחזיק — ולשלוח אותו לעירייה (פיזית או דיגיטלית).","על סמך המידע שסופק לי במסמכים, לא קיים מידע בנוגע לתהליך עדכון החלפת מחזיק בנכס. איני יודע לענות על שאלתך מתוך המקורות הקיימים.",0.0,0.0,0.0,1.0,0.0
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",adaptive,adaptive,False,False,baseline,"לפנות למוקד שירות / פניות הציבור של העירייה באמצעות טלפון או פקס/דוא״ל במידה ופורסם.

ניתן להגיע למשרדי השירות לתושב (או למרכז השירות) במקום — כדי לדבר עם נציג פנים אל פנים.

ניתן להגיש פנייה מקוונת (באמצעות טופס באתר) או לפתוח קריאה בדיווח ממערכת העירייה.","על סמך המסמכים שסופקו, אין מידע המפרט כיצד לפנות לשירותים כלליים, להגיש תלונות או לבצע פניות בנושאים חברתיים.

המסמכים מזכירים את קיומם של שירותים מסוימים, כגון מרכז תעסוקה עירוני לשילוב מטופלי רווחה [מקור 1](https://www.haifa.muni.il/wp-content/uploads/2021/08/שירותי-רווחה-וביטוח-לאומי-1.pdf) והשירות הפסיכולוגי [מקור 3](https://www.haifa.muni.il/wp-content/uploads/2021/08/השירות-הפסיכולוגי-1.pdf), אך לא מצוינים בהם פרטי קשר, טפסים או הוראות כיצד לפנות אליהם.",0.0,0.0,0.0,1.0,0.0
"אם קיבלתי דוח פיקוח (חניה, פסולת, קנס וכו׳) — איך משלמים או מערערים?",adaptive,adaptive,False,False,baseline,"ניתן לשלם את הדוח דרך מוקד התשלומים של העירייה, בטלפון או באתר.

ש אפשרות לערער על הדוח — באמצעות מוקד האכיפה או הפניות המתאימות, לפי הנחיות העירייה.

אפשר להגיע אישית למחלקת אכיפה או שירות לתושב כדי לברר או להגיש בקשה לערעור.","על סמך המסמכים שסופקו לי, איני יודע את התשובה לשאלתך.

המסמכים שברשותי מכילים מידע חלקי הנוגע ל**תעריפי חניה לשנת 2024** בלבד, ואינם כוללים הסבר על אופן התשלום או תהליך הערעור על דוחות.",1.0,1.0,0.0,1.0,0.0
"איך מקבלים מידע על חינוך, גני ילדים ותכניות לימוד?",adaptive,adaptive,False,False,baseline,"לפנות למוקד השירות לתושב לשאלות חינוך.

לבדוק באתר העירייה את החלק המוקדש לחינוך וגני ילדים.

לפנות למחלקת החינוך העירונית כדי לקבל מענה אישי.","על בסיס המידע שסופק לי, איני יודע את התשובה לשאלה זו, שכן המסמכים עוסקים בנושאי תעסוקה וקריירה, מרכזי מיחזור וקליטת עלייה, ואינם מכילים מידע על אופן קבלת פרטים בנושאי חינוך, גני ילדים ותכניות לימוד.",0.0,0.0,0.0,1.0,0.0
איך מזמינים תור מראש לשירותים כמו ארנונה או שירותים אחרים?,adaptive,adaptive,False,False,baseline,"אפשר להזמין תור דרך האתר.

יתן להזמין תור בטלפון למוקד השירות לתושב.

להגיע למרכז השירות ולבדוק זמינות פגישה במקום.","על פי המידע במסמכים שסופקו, אין מידע לגבי אופן זימון תורים מראש לשירותי ארנונה או שירותים אחרים.

ב[מקור 3](https://www.haifa.muni.il/wp-content/uploads/2025/05/2014.pdf) מוזכר כי ניתן שירות בנושאי ארנונה, אגרות חינוך, מים וחילופי מחזיק במרכז השירות לתושב, אך לא מפורט התהליך לביצוע הזימון.",0.0,0.0,0.0,1.0,0.0
איך מדווחים על חזירי בר או בעיות בטיחות בתושבים?,adaptive,adaptive,False,False,baseline,"לפנות למוקד העירוני 106.

לשלוח הודעה דרך ווטסאפ/מסנג’ר אם השירות זמין.

לפנות למחלקת הביטחון או אגף פיקוח בעירייה.","על סמך המסמכים שסופקו, לא קיים מידע ספציפי המסביר כיצד לדווח על חזירי בר.

בנוגע לדיווח ופניות למוקד, [מקור 1] מציין ערוצי תקשורת כלליים ליצירת קשר עם העירייה (אם כי ההקשר במסמך הוא טיפול באתר שספג פגיעת טיל):

*   מוקד העירוני בווטסאפ (רק בשעות הפעילות)
*   פניה במסנג'ר (רק בשעות הפעילות)
*   פניות הציבור

כמו כן, צוין כי במקרה של פגיעת הטילים, הוקמה עמדת פניות תושבים במקום הפגיעה.

לפרטים נוספים ודרכי התקשרות מתוך הכתבה:
[צוותי עירייה מתוגברים פועלים באתר שספג פגיעה בעקבות ירי הטילים לחיפה - עמדת פניות תושבים הוקמה ע""י העירייה במקום הפגיעה](https://www.haifa.muni.il/article/%d7%a6%d7%95%d7%95%d7%aa%d7%99-%d7%a2%d7%99%d7%a8%d7%99%d7%99%d7%94-%d7%9e%d7%aa%d7%95%d7%92%d7%91%d7%a8%d7%99%d7%9d-%d7%a4%d7%95%d7%a2%d7%9c%d7%99%d7%9d-%d7%91%d7%90%d7%aa%d7%a8-%d7%a9%d7%a1%d7%a4/)",0.2,0.1,0.2,0.3,0.1
איך מגישים בקשה להנחות או פטור בארנונה?,adaptive,adaptive,False,False,baseline,"לפנות למוקד הארנונה עם פרטי הנכס.

למלא טופס בקשה להנחה ולשלוח אותו לאגף הארנונה.

ליצור קשר עם מוקד השירות לתושב לבירור זכאות והגשת הבקשה.","על סמך המסמכים שסופקו, איני יודע כיצד מגישים את הבקשה (אין במסמכים קישור לטפסים או פירוט על ערוצי ההגשה).

המידע היחיד המופיע בנושא זה מתאר את התהליך הפנימי שמתרחש **לאחר** הטיפול בבקשה, כפי שמופיע במסמך [הנחות ופטורים מארנונה](https://www.haifa.muni.il/wp-content/uploads/2021/08/הנחות-ופטורים-מארנונה.pdf): לאחר פניית התושב ואישור זמני, מסמכי הבקשה מועברים לבודקות לצורך אימות הנתונים מול מאגרי מידע ובדיקת זכאות.",0.0,0.0,0.0,1.0,0.0
איך פונים לקבלת מידע על חנייה חינם או אזורי חנייה בתשלום?,adaptive,adaptive,False,False,baseline,"לפנות למוקד שירות לתושב או למוקד החנייה בטלפון.

לפנות למחלקת פיקוח וחנייה בעירייה כדי לברר על אזורים חינם ותשלום.

לשלוח פנייה דיגיטלית או הודעה למוקד העירוני 106 עם פרטי המיקום.","על סמך המסמכים שסופקו לי, אינני יודע כיצד ניתן לפנות לקבלת מידע על חנייה חינם או אזורי חנייה בתשלום.",0.0,1.0,0.0,1.0,0.0
"איך מגישים בקשה לקבלת תעודת לידה, נישואין או תעודה אחרת?",adaptive,adaptive,False,False,baseline,"לפנות למוקד השירות לתושב או אגף הרישום בעירייה.

למלא טופס בקשה במשרדי הרישום ולהגיש באופן פיזי.

לשלוח בקשה בדואר או פקס למוקד הרישום העירוני.","על סמך המסמכים שסופקו לי, איני יודע כיצד מגישים בקשה לקבלת תעודת לידה, נישואין או תעודה אחרת. המידע במסמכים עוסק בבקשות לפטור עמותות ובפרוטוקולים של ועדת המכרזים.",0.0,1.0,0.0,1.0,0.0
איך מזמינים שירותי חינוך בלתי פורמלי כמו חוגים או סדנאות?,adaptive,adaptive,False,False,baseline,"להרשם ישירות במרכזי תרבות או ספריות ציבוריות בעיר.

לבדוק עם אגף החינוך או החוגים העירוניים על לוחות זמנים והרשמה.

להשתתף באירועים פתוחים ולבקש מידע על הרשמה במקום.","על סמך המסמכים שסופקו לי, אין מידע לגבי אופן הזמנת שירותי חינוך בלתי פורמלי, חוגים או סדנאות. לכן, איני יודע את התשובה לשאלתך.",0.0,0.0,0.0,1.0,0.0
איך מזמינים פעילויות ספורט או מתקנים כמו מגרשי כדורסל או כדורגל?,adaptive,adaptive,False,False,baseline,"להזמין תור מראש דרך אגף הספורט או המרכז הקהילתי.

להגיע ישירות למתקן ולבדוק זמינות עם האחראי במקום.

להשתתף בפעילויות קיץ/חוגי ספורט פתוחים לפי לוח השנה העירוני.","אני מצטער, אך המידע שסופק לי אינו כולל פרטים על אופן הזמנת פעילויות ספורט או מתקנים כגון מגרשי כדורסל או כדורגל. המסמכים הקיימים עוסקים בנושאי נגישות לאצטדיון העירוני, רשימת מרכזי מחזור וחלוקה גיאוגרפית.",0.0,1.0,0.0,1.0,0.0
"איך מקבלים מידע על תרבות, מופעים, וסדנאות בעיר?",adaptive,adaptive,False,False,baseline,"להרשם לניוזלטרים של אגף תרבות בעירייה.

לבדוק לוחות אירועים במרכזי תרבות וספריות ציבוריות.

להגיע לאירוע פתוח ולשאול על סדנאות והשתתפות עתידית.","על פי המסמכים שסופקו, אין מידע כללי המפרט כיצד ניתן להירשם או לקבל עדכונים שוטפים על כלל מופעי התרבות והסדנאות בעיר.

עם זאת, בדף המידע על [פסטיבל Urban Challenge - תחרות ברייקדאנס ארצית](https://www.haifa.muni.il/event/%d7%a4%d7%a1%d7%98%d7%99%d7%91%d7%9c-urban-challenge/), מפורטים ערוצי קשר מול העירייה שדרכם ניתן לפנות:
*   מוקד עירוני בווטסאפ (רק בשעות הפעילות).
*   פניה במסנג'ר (רק בשעות הפעילות).
*   פניות הציבור.
*   מוקדי השירות.

במסמכים קיימות דוגמאות לאירועים ספציפיים כמו תחרות הברייקדאנס, וכן אזכורים לאירועי עבר כגון פסטיבל חיפה הבינלאומי להצגות ילדים ופסטיבל תרבות ותיאטרון הנוער.",0.0,0.0,0.0,0.3,0.0
