query,strategy,config,use_query_enhancement,use_reranking,combination,gold_answer,rag_answer,correctness,faithfulness,completeness,conciseness,overall
איך משלמים ארנונה?,adaptive,adaptive,False,False,baseline,"עיריית חיפה מאפשרת לשלם ארנונה בכמה דרכים: באתר אינטרנט מאובטח בתשלום בכרטיס אשראי, בהוראת קבע מכרטיס אשראי (טופס מקוון), בהוראת קבע בבנק לאחר מילוי טופס חיוב חשבון, במוקד התשלומים הטלפוני 1-700-700-060 הפועל 24/7, ובקופת העירייה ובדלפקי אגף חיובי ארנונה.

ניתן לשלם את חשבונות הארנונה גם דרך פורטל התשלומים הארצי של הרשויות המקומיות, בתשלום מאובטח באמצעות כרטיס אשראי, ללא צורך בהרשמה וללא התקנת תוכנה.

תשלום הארנונה יכול להתבצע בתשלום אחד מראש, או בהסדר של 6 תשלומים במועדים קבועים במהלך השנה (1/1, 1/3, 1/5, 1/7, 1/9, 1/11). תשלום מראש עד 31 בדצמבר של השנה הקודמת מזכה בהנחה של 2% ועד 31 בינואר של שנת הכספים מזכה בהנחה של 1%. 

המוקד הטלפוני בנושא מיסים (ארנונה, מים ואגרת שירותים בחינוך) זמין לתושבים בטלפון 1-700-700-060: המענה הקולי הממוחשב לתשלומים פעיל 24 שעות ביממה, ומענה אנושי ניתן בימים א'–ה' בין 7:30 ל-14:30.","איני יודע. המסמכים שסופקו לי אינם מכילים מידע על דרכי תשלום הארנונה, אלא עוסקים רק בחיוב הוצאות משפט במסגרת החלטות ספציפיות של ועדת הערר.",0.0,0.0,0.0,1.0,0.0
מה שעות הפעילות של המוקד העירוני?,adaptive,adaptive,False,False,baseline,"מוקד עירוני 106 של עיריית חיפה פועל 24 שעות ביממה והוא זמין לדיווח על מפגעים עירוניים בכל שעות היום והלילה.

ניתן ליצור קשר עם מוקד עירוני 106 בטלפון המקוצר 106 או במספר 04-8356356, והמוקד עומד לרשות התושבים 24 שעות ביממה.

שירותי הווטסאפ והמסנג'ר של המוקד העירוני פועלים בימי א'–ה' בין השעות 07:00–19:00, ובסופי שבוע וחגים (כולל שבתות) בין 07:00–14:00.","על סמך המסמכים שסופקו לי, אין בידי מידע לגבי שעות הפעילות של המוקד העירוני.",0.0,0.0,0.0,1.0,0.0
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,adaptive,adaptive,False,False,baseline,"טלפון ישיר למוקד: 106 או 04-8356356
מחוץ לחיפה 04-8356860/1/2/3

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב:

טלפון: 1-700-700-060
שעות מענה: ימים א’ – ה’ בין השעות 7:30 – 14:30.

כתובת: רח' חסן שוקרי 14 היכל העירייה, קומת כניסה, חדר 112.

מענה טלפוני: בין השעות 08:30 – 15:00.

טלפון: 04-8356865

פקס: 04-8356440","איני יודע מהו מספר הטלפון של המוקד העירוני, שכן מידע זה אינו מופיע במסמכים שסופקו לי. המסמכים מכילים מספרי טלפון של משרדי הפיקוח והאכיפה באזורים שונים בעיר (הדר-עיר, מערב חיפה ואזור מוריה).",0.0,0.0,0.0,1.0,0.0
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,adaptive,adaptive,False,False,baseline,"עיריית חיפה מזמינה אתכם לדווח על מפגעים עירוניים. אנו עומדים לרשותכם 24 שעות ביממה.

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב

שירותי הווטסאפ והמסנג'ר פועלים בימי א' - ה', בין השעות 07:00 - 19:00.
בסופי שבוע וחגים (כולל שבתות), בין השעות 07:00 - 14:00.","על סמך המסמכים שסופקו לי, איני יודע את התשובה לשאלתך. המסמכים הזמינים עוסקים בחלוקה גיאוסטטיסטית ומפות העיר בלבד, ואינם מכילים מידע לגבי המוקד העירוני או דרכי יצירת הקשר עמו.",0.0,0.0,0.0,1.0,0.0
אם אני רוצה לשלם ארנונה — למי פונים?,adaptive,adaptive,False,False,baseline,"מוקד תשלומים – טלפון 1-700-700-060 (מענה אנושי: ימים א’ – ה’ בין השעות 07:30 – 14:30 | מענה ממוחשב: 24 שעות ביממה).

תשלום בהוראת קבע בבנק - יש למלא ולהחתים את סניף הבנק על טופס הוראה לחיוב חשבון הבנק.

באתר אינטרנט מאובטח - תשלום בכרטיס אשראי.","על סמך המידע שנמצא במסמכים שסופקו, איני יודע למי יש לפנות לצורך תשלום ארנונה.

המסמכים עוסקים בהחלטות משפטיות של וועדת הערר לענייני ארנונה, בחיוב הוצאות משפט בתיקים ספציפיים (כגון במסמך [ערר 92 21](https://www.haifa.muni.il/wp-content/uploads/2021/08/ערר-92-21.pdf)), או בטענות לגבי זכאות לתשלום מופחת, אך אינם מכילים מידע כללי על אופן ביצוע התשלום או פרטי התקשרות לגבייה.",0.0,0.0,0.0,1.0,0.0
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,adaptive,adaptive,False,False,baseline,"לפנות למוקד הארנונה / מוקד השירות לתושב עם פרטי הנכס והדייר החדש, כדי לעדכן את רישומי הארנונה.

אפשר לפנות באמצעות טלפון או דואר־אלקטרוני (אם קיים) לשירות הארנונה ולעדכן את שינוי המחזיק.

לפעמים יש צורך למלא טופס העברת בעלות / מחזיק — ולשלוח אותו לעירייה (פיזית או דיגיטלית).","על בסיס המסמכים שסופקו לי, אין מידע הנוגע לאופן ביצוע או עדכון החלפת מחזיק בנכס. לכן, איני יודע לענות על שאלתך.",0.0,0.0,0.0,1.0,0.0
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",adaptive,adaptive,False,False,baseline,"לפנות למוקד שירות / פניות הציבור של העירייה באמצעות טלפון או פקס/דוא״ל במידה ופורסם.

ניתן להגיע למשרדי השירות לתושב (או למרכז השירות) במקום — כדי לדבר עם נציג פנים אל פנים.

ניתן להגיש פנייה מקוונת (באמצעות טופס באתר) או לפתוח קריאה בדיווח ממערכת העירייה.","על סמך המסמכים שסופקו, איני יודע כיצד ניתן לפנות באופן ישיר לשירותים כלליים, להגיש תלונות או לפתוח פניות, שכן פרטי ההתקשרות (טלפונים, טפסים מקוונים או קישורים למוקדי פניות) אינם מופיעים בהם.

המסמכים מתייחסים לתוכן ולמדיניות של חלק מהשירותים, אך לא לאופן הפנייה אליהם:
*   **שירותי רווחה:** מערכת הרווחה מפתחת מענים כגון מרכז תעסוקה עירוני ופועלת למיצוי זכויות תושבים בשיתוף אגפים שונים בעירייה [מקור 1](https://www.haifa.muni.il/wp-content/uploads/2021/08/שירותי-רווחה-וביטוח-לאומי-1.pdf).
*   **השירות הפסיכולוגי:** מספק שירותים לפי סל בסיסי וסל משלים (בכפוף לתקציב וכוח אדם), אך אינו ניתן לגני טרום-חובה ולחטיבה העליונה בחינוך הרגיל [מקור 3](https://www.haifa.muni.il/wp-content/uploads/2021/08/השירות-הפסיכולוגי-1.pdf).",0.0,0.0,0.0,0.2,0.0
"אם קיבלתי דוח פיקוח (חניה, פסולת, קנס וכו׳) — איך משלמים או מערערים?",adaptive,adaptive,False,False,baseline,"ניתן לשלם את הדוח דרך מוקד התשלומים של העירייה, בטלפון או באתר.

ש אפשרות לערער על הדוח — באמצעות מוקד האכיפה או הפניות המתאימות, לפי הנחיות העירייה.

אפשר להגיע אישית למחלקת אכיפה או שירות לתושב כדי לברר או להגיש בקשה לערעור.","על סמך המידע שסופק לי, איני יודע את התשובה לשאלתך. המסמכים שברשותי עוסקים בתעריפי חניה בלבד ואינם מכילים מידע על אופן התשלום או תהליך הערעור על דוחות.",0.0,1.0,0.0,1.0,0.0
"איך מקבלים מידע על חינוך, גני ילדים ותכניות לימוד?",adaptive,adaptive,False,False,baseline,"לפנות למוקד השירות לתושב לשאלות חינוך.

לבדוק באתר העירייה את החלק המוקדש לחינוך וגני ילדים.

לפנות למחלקת החינוך העירונית כדי לקבל מענה אישי.","על סמך המסמכים שסופקו, איני יודע את התשובה לשאלתך. המסמכים הנוכחיים עוסקים במרכז הקריירה ""בורלא 17"", במיקומי מרכזי מיחזור ובפרוטוקול ועדה בנושא קליטת עלייה, ואינם מכילים מידע על אופן קבלת פרטים בנושאי חינוך, גני ילדים ותכניות לימוד.",0.0,0.0,0.0,1.0,0.0
איך מזמינים תור מראש לשירותים כמו ארנונה או שירותים אחרים?,adaptive,adaptive,False,False,baseline,"אפשר להזמין תור דרך האתר.

יתן להזמין תור בטלפון למוקד השירות לתושב.

להגיע למרכז השירות ולבדוק זמינות פגישה במקום.","על בסיס המסמכים שסופקו, איני יודע כיצד מזמינים תור מראש, שכן מידע זה אינו מופיע בהם.

עם זאת, [מקור 3](https://www.haifa.muni.il/wp-content/uploads/2025/05/2014.pdf) מציין כי קיים שירות בנושא ארנונה ואגרות חינוך, שירות בנושא מים ושירות בנושא חילופי מחזיק במרכז שירות לתושב, וכי שעות העומס שנצפו הן 10:00-12:00.",0.0,0.0,0.0,0.5,0.0
