query,category,strategy,expected_namespace,detected_namespace,namespace_correct,avg_score,max_score,min_score,std_score,num_results,unique_docs,doc_types,namespaces,precision,recall,accuracy,relevant_retrieved,total_relevant
איך משלמים ארנונה?,general,baseline,arnona,arnona,True,0.266675055,0.270339638,0.252016723,0.007329165999999998,5,5,"{""event"": 4, ""general_info"": 1}","{""arnona"": 5}",0.0,0.0,0.0,0,4
איך משלמים ארנונה?,general,sentence,arnona,arnona,True,0.4303923545999999,0.442157775,0.412744224,0.01440963829466597,5,3,"{""event"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,4
איך משלמים ארנונה?,general,adaptive,arnona,arnona,True,0.6578680874,0.671598673,0.64279753,0.009968227676054106,5,5,"{""pdf"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,4
מה שעות הפעילות של המוקד העירוני?,general,baseline,general,general,True,0.14041648310000002,0.287824154,0.064912118,0.10424333068080842,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
מה שעות הפעילות של המוקד העירוני?,general,sentence,general,general,True,0.3972212746,0.437872,0.377043396,0.021096418730365052,5,5,"{""event"": 1, ""general_info"": 4}","{""general"": 5}",0.2,0.3333333333333333,0.2,1,3
מה שעות הפעילות של המוקד העירוני?,general,adaptive,general,general,True,0.544516945,0.553193629,0.536871135,0.005472833964469957,5,2,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,general,baseline,arnona,arnona,True,0.45236671,0.462764651,0.410774946,0.02079588200000002,5,5,"{""event"": 4, ""procedural"": 1}","{""arnona"": 5}",0.0,0.0,0.0,0,3
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,general,sentence,arnona,arnona,True,0.6000381942,0.623073339,0.565485477,0.028212175455562625,5,5,"{""general_info"": 3, ""event"": 2}","{""arnona"": 5}",0.0,0.0,0.0,0,3
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,general,adaptive,arnona,arnona,True,0.7107226968,0.720796585,0.684069097,0.014335934843001058,5,5,"{""procedural"": 3, ""pdf"": 2}","{""arnona"": 5}",0.0,0.0,0.0,0,3
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,general,baseline,general,general,True,0.1580585291,0.285633177,0.0880108103,0.09035360400037415,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,general,sentence,general,general,True,0.49610161380000006,0.612781405,0.452370942,0.05927205252748933,5,4,"{""event"": 1, ""general_info"": 4}","{""general"": 5}",0.0,0.0,0.0,0,3
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,general,adaptive,general,general,True,0.6636813521999999,0.689378738,0.654599607,0.013009725555558394,5,3,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה לשלם ארנונה — למי פונים?,general,baseline,arnona,arnona,True,0.22294889700000003,0.298308253,0.186616316,0.03874734924565337,5,5,"{""procedural"": 4, ""event"": 1}","{""arnona"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה לשלם ארנונה — למי פונים?,general,sentence,arnona,arnona,True,0.3948622968,0.395836,0.393401742,0.0011925380004575896,5,3,"{""event"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה לשלם ארנונה — למי פונים?,general,adaptive,arnona,arnona,True,0.5857967258000001,0.594272733,0.583491921,0.004243817162521627,5,5,"{""pdf"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,general,baseline,general,general,True,0.0232334947,0.0419195294,0.0104803862,0.01350320063931786,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,general,sentence,general,general,True,0.20660332139999998,0.221841052,0.197282732,0.009057901646574926,5,5,"{""general_info"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,general,adaptive,general,general,True,0.3685129464,0.385322392,0.346099973,0.01452994876259113,5,3,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",general,baseline,water,water,True,0.2924991608,0.293668628,0.29074496,0.0014322989554606772,5,3,"{""general_info"": 5}","{""water"": 5}",0.0,0.0,0.0,0,3
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",general,sentence,water,water,True,0.5300851522000001,0.624768436,0.483323425,0.052662136094644305,5,3,"{""event"": 5}","{""water"": 5}",0.0,0.0,0.0,0,3
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",general,adaptive,water,water,True,0.6759703874,0.704362333,0.660677373,0.018436749813140765,5,5,"{""pdf"": 5}","{""water"": 5}",0.0,0.0,0.0,0,3
"אם קיבלתי דוח פיקוח (חניה, פסולת, קנס וכו׳) — איך משלמים או מערערים?",general,baseline,parking,general,False,0.0803002764,0.135395929,0.0391450897,0.040511796295403496,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
"אם קיבלתי דוח פיקוח (חניה, פסולת, קנס וכו׳) — איך משלמים או מערערים?",general,sentence,parking,parking,True,0.286505157,0.343579501,0.237830952,0.039577095850008064,5,5,"{""general_info"": 4, ""event"": 1}","{""parking"": 5}",0.0,0.0,0.0,0,3
"אם קיבלתי דוח פיקוח (חניה, פסולת, קנס וכו׳) — איך משלמים או מערערים?",general,adaptive,parking,parking,True,0.3444611608,0.366150707,0.319966733,0.01881370359477988,5,1,"{""pdf"": 5}","{""parking"": 5}",0.0,0.0,0.0,0,3
"איך מקבלים מידע על חינוך, גני ילדים ותכניות לימוד?",general,baseline,general,general,True,0.08688221996666666,0.121790655,0.0582115538,0.02632815790081571,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
"איך מקבלים מידע על חינוך, גני ילדים ותכניות לימוד?",general,sentence,general,general,True,0.24167637820000004,0.277672321,0.230269864,0.018380365580237173,5,4,"{""event"": 2, ""general_info"": 3}","{""general"": 5}",0.0,0.0,0.0,0,3
"איך מקבלים מידע על חינוך, גני ילדים ותכניות לימוד?",general,adaptive,general,general,True,0.3770226122,0.397457957,0.363512278,0.01231318386228083,5,5,"{""procedural"": 1, ""pdf"": 4}","{""general"": 5}",0.0,0.0,0.0,0,3
איך מזמינים תור מראש לשירותים כמו ארנונה או שירותים אחרים?,general,baseline,arnona,arnona,True,0.17354172159999998,0.18342714,0.158713594,0.012107115486960035,5,5,"{""procedural"": 3, ""event"": 2}","{""arnona"": 5}",0.0,0.0,0.0,0,3
איך מזמינים תור מראש לשירותים כמו ארנונה או שירותים אחרים?,general,sentence,arnona,arnona,True,0.3119082096,0.3147012,0.307718724,0.0034207006682459504,5,5,"{""event"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
איך מזמינים תור מראש לשירותים כמו ארנונה או שירותים אחרים?,general,adaptive,arnona,arnona,True,0.5356965784,0.544491351,0.530124784,0.0050829581101713575,5,5,"{""pdf"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
איך מדווחים על חזירי בר או בעיות בטיחות בתושבים?,general,baseline,parking,general,False,0.07192742079999999,0.181792602,0.0161088854,0.07768978237524878,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
איך מדווחים על חזירי בר או בעיות בטיחות בתושבים?,general,sentence,parking,parking,True,0.244653222,0.360811174,0.207538471,0.058465326394113636,5,4,"{""event"": 4, ""general_info"": 1}","{""parking"": 5}",0.0,0.0,0.0,0,3
איך מדווחים על חזירי בר או בעיות בטיחות בתושבים?,general,adaptive,parking,parking,True,0.25172118239999997,0.338466078,0.227785468,0.04351222501994976,5,5,"{""event"": 1, ""pdf"": 1, ""procedural"": 3}","{""parking"": 5}",0.2,0.3333333333333333,0.2,1,3
איך מגישים בקשה להנחות או פטור בארנונה?,general,baseline,arnona,arnona,True,0.3257559182,0.336278975,0.323125154,0.0052615283999999825,5,5,"{""procedural"": 1, ""event"": 4}","{""arnona"": 5}",0.0,0.0,0.0,0,3
איך מגישים בקשה להנחות או פטור בארנונה?,general,sentence,arnona,arnona,True,0.5043915156,0.529234648,0.467126817,0.030426498996202193,5,3,"{""event"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
איך מגישים בקשה להנחות או פטור בארנונה?,general,adaptive,arnona,arnona,True,0.614197421,0.622247398,0.605189562,0.006525771684080581,5,4,"{""pdf"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
איך פונים לקבלת מידע על חנייה חינם או אזורי חנייה בתשלום?,general,baseline,general,general,True,0.15360406533333335,0.18518196,0.137317568,0.02233263874074328,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
איך פונים לקבלת מידע על חנייה חינם או אזורי חנייה בתשלום?,general,sentence,general,general,True,0.3167288364,0.330564201,0.291825444,0.013057028858847148,5,5,"{""event"": 1, ""general_info"": 4}","{""general"": 5}",0.0,0.0,0.0,0,3
איך פונים לקבלת מידע על חנייה חינם או אזורי חנייה בתשלום?,general,adaptive,general,general,True,0.541535258,0.541535258,0.541535258,0.0,5,1,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
"איך מגישים בקשה לקבלת תעודת לידה, נישואין או תעודה אחרת?",general,baseline,general,general,True,0.09437554826666666,0.0992619768,0.0912178233,0.0035041321701618795,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
"איך מגישים בקשה לקבלת תעודת לידה, נישואין או תעודה אחרת?",general,sentence,general,general,True,0.20703138120000003,0.233302131,0.185461611,0.020774100750886412,5,5,"{""general_info"": 4, ""event"": 1}","{""general"": 5}",0.0,0.0,0.0,0,3
"איך מגישים בקשה לקבלת תעודת לידה, נישואין או תעודה אחרת?",general,adaptive,general,general,True,0.39309341319999996,0.427957982,0.364980221,0.021956774462816457,5,4,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
איך מזמינים שירותי חינוך בלתי פורמלי כמו חוגים או סדנאות?,general,baseline,general,general,True,0.04716598303333333,0.074938871,0.0251777563,0.020722594162491035,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
איך מזמינים שירותי חינוך בלתי פורמלי כמו חוגים או סדנאות?,general,sentence,general,general,True,0.2844470672,0.327613592,0.243788,0.03527169504427963,5,5,"{""event"": 1, ""general_info"": 4}","{""general"": 5}",0.0,0.0,0.0,0,3
איך מזמינים שירותי חינוך בלתי פורמלי כמו חוגים או סדנאות?,general,adaptive,general,general,True,0.40960757979999995,0.451065153,0.378295094,0.027978708987617427,5,4,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
איך מזמינים פעילויות ספורט או מתקנים כמו מגרשי כדורסל או כדורגל?,general,baseline,general,general,True,0.155445968,0.163715243,0.148092538,0.00641073614739499,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
איך מזמינים פעילויות ספורט או מתקנים כמו מגרשי כדורסל או כדורגל?,general,sentence,general,general,True,0.33727501019999995,0.470575243,0.293544501,0.0669498848011763,5,5,"{""general_info"": 4, ""event"": 1}","{""general"": 5}",0.0,0.0,0.0,0,3
