query,category,strategy,expected_namespace,detected_namespace,namespace_correct,avg_score,max_score,min_score,std_score,num_results,unique_docs,doc_types,namespaces,precision,recall,accuracy,relevant_retrieved,total_relevant
איך משלמים ארנונה?,general,adaptive,arnona,arnona,True,0.6712721826,0.686957598,0.664141834,0.008242047976795557,5,5,"{""pdf"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,4
מה שעות הפעילות של המוקד העירוני?,general,adaptive,general,general,True,0.5445170762,0.553193629,0.536871135,0.005472749577302814,5,2,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,general,adaptive,arnona,arnona,True,0.6812347888000001,0.707154632,0.671129107,0.013829852981729396,5,3,"{""pdf"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,general,adaptive,general,general,True,0.6636813759999999,0.689378738,0.654599607,0.013009710393364533,5,3,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה לשלם ארנונה — למי פונים?,general,adaptive,arnona,arnona,True,0.5930392386000001,0.602328837,0.583598435,0.00798135577425724,5,5,"{""pdf"": 5}","{""arnona"": 5}",0.4,0.6666666666666666,0.4,2,3
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,general,adaptive,general,general,True,0.3685129464,0.385322392,0.346099973,0.01452994876259113,5,3,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",general,adaptive,water,water,True,0.6793398142,0.704362333,0.665103793,0.015788286165261605,5,5,"{""pdf"": 5}","{""water"": 5}",0.0,0.0,0.0,0,3
"אם קיבלתי דוח פיקוח (חניה, פסולת, קנס וכו׳) — איך משלמים או מערערים?",general,adaptive,parking,parking,True,0.3448280812,0.366150707,0.32180205,0.018344434583886886,5,1,"{""pdf"": 5}","{""parking"": 5}",0.0,0.0,0.0,0,3
"איך מקבלים מידע על חינוך, גני ילדים ותכניות לימוד?",general,adaptive,general,general,True,0.399380934,0.457422256,0.376834333,0.029817463374003556,5,5,"{""pdf"": 3, ""procedural"": 2}","{""general"": 5}",0.0,0.0,0.0,0,3
איך מזמינים תור מראש לשירותים כמו ארנונה או שירותים אחרים?,general,adaptive,arnona,arnona,True,0.5356965784,0.544491351,0.530124784,0.0050829581101713575,5,5,"{""pdf"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
איך מדווחים על חזירי בר או בעיות בטיחות בתושבים?,general,adaptive,parking,parking,True,0.2517211884,0.338466078,0.227785468,0.04351222296015061,5,5,"{""event"": 1, ""pdf"": 1, ""procedural"": 3}","{""parking"": 5}",0.2,0.3333333333333333,0.2,1,3
איך מגישים בקשה להנחות או פטור בארנונה?,general,adaptive,arnona,arnona,True,0.614197421,0.622247398,0.605189562,0.006525771684080581,5,4,"{""pdf"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
איך פונים לקבלת מידע על חנייה חינם או אזורי חנייה בתשלום?,general,adaptive,general,general,True,0.541535258,0.541535258,0.541535258,0.0,5,1,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
"איך מגישים בקשה לקבלת תעודת לידה, נישואין או תעודה אחרת?",general,adaptive,general,general,True,0.395741421,0.4012025,0.386193782,0.005409003235216786,5,3,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
איך מזמינים שירותי חינוך בלתי פורמלי כמו חוגים או סדנאות?,general,adaptive,general,general,True,0.40960757979999995,0.451065153,0.378295094,0.027978708987617427,5,4,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
איך מזמינים פעילויות ספורט או מתקנים כמו מגרשי כדורסל או כדורגל?,general,adaptive,general,general,True,0.45385056859999995,0.502676249,0.415517539,0.03833537283206146,5,5,"{""general_info"": 1, ""pdf"": 3, ""event"": 1}","{""general"": 5}",0.0,0.0,0.0,0,3
"איך מקבלים מידע על תרבות, מופעים, וסדנאות בעיר?",general,adaptive,culture,culture,True,0.4033581316,0.475177258,0.363922894,0.040182816097632044,5,4,"{""pdf"": 2, ""event"": 3}","{""culture"": 5}",0.4,0.6666666666666666,0.4,2,3
מה העיר חיפה מציעה למבקרים בה?,general,adaptive,general,general,True,0.6041420488,0.630452931,0.591334,0.015119960002798905,5,2,"{""pdf"": 5}","{""general"": 5}",0.6,1.0,0.6,3,3
"מה תפקידי הנהלת העיר, קשרי חוץ ופנים?",general,adaptive,general,general,True,0.6114022136,0.640782714,0.60063535,0.015111778431953701,5,2,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
מה תכניות העבודה לשנת 2025 של העיר חיפה?,general,adaptive,general,general,True,0.5656465768000001,0.586061418,0.555817187,0.010509003997486128,5,3,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
