query,strategy,config,use_query_enhancement,use_reranking,combination,gold_answer,rag_answer,correctness,faithfulness,completeness,conciseness,overall
איך משלמים ארנונה?,adaptive,adaptive_enrichment_only,True,False,enrichment_only,"עיריית חיפה מאפשרת לשלם ארנונה בכמה דרכים: באתר אינטרנט מאובטח בתשלום בכרטיס אשראי, בהוראת קבע מכרטיס אשראי (טופס מקוון), בהוראת קבע בבנק לאחר מילוי טופס חיוב חשבון, במוקד התשלומים הטלפוני 1-700-700-060 הפועל 24/7, ובקופת העירייה ובדלפקי אגף חיובי ארנונה.

ניתן לשלם את חשבונות הארנונה גם דרך פורטל התשלומים הארצי של הרשויות המקומיות, בתשלום מאובטח באמצעות כרטיס אשראי, ללא צורך בהרשמה וללא התקנת תוכנה.

תשלום הארנונה יכול להתבצע בתשלום אחד מראש, או בהסדר של 6 תשלומים במועדים קבועים במהלך השנה (1/1, 1/3, 1/5, 1/7, 1/9, 1/11). תשלום מראש עד 31 בדצמבר של השנה הקודמת מזכה בהנחה של 2% ועד 31 בינואר של שנת הכספים מזכה בהנחה של 1%. 

המוקד הטלפוני בנושא מיסים (ארנונה, מים ואגרת שירותים בחינוך) זמין לתושבים בטלפון 1-700-700-060: המענה הקולי הממוחשב לתשלומים פעיל 24 שעות ביממה, ומענה אנושי ניתן בימים א'–ה' בין 7:30 ל-14:30.","על בסיס המסמכים שסופקו, המידע היחיד הקיים בנוגע לאופן ביצוע תשלומים הוא באמצעות **העברה בנקאית**.

על פי המסמך בנושא ""מחלקת תקבולים"", בעלי נכסים יכולים לשלם את חובם באמצעות העברה בנקאית לכל אחד מחשבונות הבנקים הקיימים בעירייה, בהתאם לבחירת בעל החוב.

המסמכים אינם מכילים מידע לגבי תשלום מקוון (city4u), הוראות קבע (בבנק או בכרטיס אשראי) או שוברי תשלום.

**מקור:**
[מחלקת תקבולים](https://www.haifa.muni.il/wp-content/uploads/2021/08/מחלקת-תקבולים.pdf)",0.0,0.0,0.0,1.0,0.0
איך משלמים ארנונה?,adaptive,adaptive_reranking_only,False,True,reranking_only,"עיריית חיפה מאפשרת לשלם ארנונה בכמה דרכים: באתר אינטרנט מאובטח בתשלום בכרטיס אשראי, בהוראת קבע מכרטיס אשראי (טופס מקוון), בהוראת קבע בבנק לאחר מילוי טופס חיוב חשבון, במוקד התשלומים הטלפוני 1-700-700-060 הפועל 24/7, ובקופת העירייה ובדלפקי אגף חיובי ארנונה.

ניתן לשלם את חשבונות הארנונה גם דרך פורטל התשלומים הארצי של הרשויות המקומיות, בתשלום מאובטח באמצעות כרטיס אשראי, ללא צורך בהרשמה וללא התקנת תוכנה.

תשלום הארנונה יכול להתבצע בתשלום אחד מראש, או בהסדר של 6 תשלומים במועדים קבועים במהלך השנה (1/1, 1/3, 1/5, 1/7, 1/9, 1/11). תשלום מראש עד 31 בדצמבר של השנה הקודמת מזכה בהנחה של 2% ועד 31 בינואר של שנת הכספים מזכה בהנחה של 1%. 

המוקד הטלפוני בנושא מיסים (ארנונה, מים ואגרת שירותים בחינוך) זמין לתושבים בטלפון 1-700-700-060: המענה הקולי הממוחשב לתשלומים פעיל 24 שעות ביממה, ומענה אנושי ניתן בימים א'–ה' בין 7:30 ל-14:30.","על פי המסמכים שסופקו, קיימות האפשרויות הבאות לתשלום ארנונה:

1.  **הוראת קבע:** ניתן לשלם את הארנונה בהוראת קבע בפריסה של עד 12 תשלומים.
    *   לפי המסמך בנושא [הנחות ופטורים מארנונה](https://www.haifa.muni.il/wp-content/uploads/2021/08/הנחות-ופטורים-מארנונה.pdf), הרשות המקומית רשאית לקבוע הנחה של עד 2% למשלמים בדרך זו.
2.  **תשלום תקופתי:** ניתן לשלם את הארנונה בשישה תשלומים, בתחילת כל חודש אי-זוגי.
3.  **תשלום מראש:** מי שמשלם עד ה-31 בינואר (לפי הפרוטוקולים המצוינים לשנת 2023) מקבל הנחה בשיעור של אחוז אחד (1%).

**מידע נוסף:**
כל תשלום שלא ישולם במועדו יישא הפרשי הצמדה וריבית בהתאם לחוק הרשויות המקומיות (כחצי אחוז לחודש או שישה אחוזים לשנה).

המקורות למידע זה:
*   [פרוטוקול המועצה צו מיסים 2023](https://www.haifa.muni.il/wp-content/uploads/2021/08/פרוטוקול-המועצה-צו-מיסים-2023.pdf)
*   [פרוטוקול מיום 28.6.22 צו המיסים PDFUA](https://www.haifa.muni.il/wp-content/uploads/2022/07/פרוטוקול-מיום-28.6.22-צו-המיסים-PDFUA.pdf)",0.4,0.2,0.3,0.9,0.3
איך משלמים ארנונה?,adaptive,adaptive_both,True,True,both,"עיריית חיפה מאפשרת לשלם ארנונה בכמה דרכים: באתר אינטרנט מאובטח בתשלום בכרטיס אשראי, בהוראת קבע מכרטיס אשראי (טופס מקוון), בהוראת קבע בבנק לאחר מילוי טופס חיוב חשבון, במוקד התשלומים הטלפוני 1-700-700-060 הפועל 24/7, ובקופת העירייה ובדלפקי אגף חיובי ארנונה.

ניתן לשלם את חשבונות הארנונה גם דרך פורטל התשלומים הארצי של הרשויות המקומיות, בתשלום מאובטח באמצעות כרטיס אשראי, ללא צורך בהרשמה וללא התקנת תוכנה.

תשלום הארנונה יכול להתבצע בתשלום אחד מראש, או בהסדר של 6 תשלומים במועדים קבועים במהלך השנה (1/1, 1/3, 1/5, 1/7, 1/9, 1/11). תשלום מראש עד 31 בדצמבר של השנה הקודמת מזכה בהנחה של 2% ועד 31 בינואר של שנת הכספים מזכה בהנחה של 1%. 

המוקד הטלפוני בנושא מיסים (ארנונה, מים ואגרת שירותים בחינוך) זמין לתושבים בטלפון 1-700-700-060: המענה הקולי הממוחשב לתשלומים פעיל 24 שעות ביממה, ומענה אנושי ניתן בימים א'–ה' בין 7:30 ל-14:30.","על בסיס המסמכים שסופקו, להלן אפשרויות תשלום הארנונה הזמינות בעיריית חיפה:

*   **תשלום מראש (בתשלום אחד):**
    *   תשלום עד ה-31 בדצמבר בשנת הכספים הקודמת מזכה בהנחה של 2%.
    *   תשלום עד ה-31 בינואר בשנת הכספים הנוכחית מזכה בהנחה של 1%.
*   **הסדר תשלומים:** ניתן לשלם את הארנונה ב-6 תשלומים בתאריכים הבאים: 1/1, 1/3, 1/5, 1/7, 1/9 ו-1/11.
*   **תשלום מקוון בכרטיס אשראי:** ניתן לבצע תשלום באתר אינטרנט מאובטח.
*   **הוראת קבע בבנק:** יש למלא ולהחתים את סניף הבנק על טופס הוראה לחיוב חשבון הבנק.

למידע נוסף: [אפשרויות תשלום ארנונה - עיריית חיפה](https://www.haifa.muni.il/resident-service/arnona/tax-payment/)

במסמכים שסופקו אין מידע לגבי השירותים ""city4u"", ""mast"", ""בירור חיוב"" או התייחסות למונח הספציפי ""שובר תקופתי"", ולכן איני יודע לענות לגביהם.",1.0,1.0,0.5,1.0,0.7
מה שעות הפעילות של המוקד העירוני?,adaptive,adaptive_enrichment_only,True,False,enrichment_only,"מוקד עירוני 106 של עיריית חיפה פועל 24 שעות ביממה והוא זמין לדיווח על מפגעים עירוניים בכל שעות היום והלילה.

ניתן ליצור קשר עם מוקד עירוני 106 בטלפון המקוצר 106 או במספר 04-8356356, והמוקד עומד לרשות התושבים 24 שעות ביממה.

שירותי הווטסאפ והמסנג'ר של המוקד העירוני פועלים בימי א'–ה' בין השעות 07:00–19:00, ובסופי שבוע וחגים (כולל שבתות) בין 07:00–14:00.","על סמך המסמכים שסופקו לי, אין מידע לגבי שעות הפעילות, הזמינות או דרכי ההתקשרות (כולל וואטסאפ ומענה אנושי) של המוקד העירוני 106 בחיפה.",0.0,0.0,0.0,1.0,0.0
מה שעות הפעילות של המוקד העירוני?,adaptive,adaptive_reranking_only,False,True,reranking_only,"מוקד עירוני 106 של עיריית חיפה פועל 24 שעות ביממה והוא זמין לדיווח על מפגעים עירוניים בכל שעות היום והלילה.

ניתן ליצור קשר עם מוקד עירוני 106 בטלפון המקוצר 106 או במספר 04-8356356, והמוקד עומד לרשות התושבים 24 שעות ביממה.

שירותי הווטסאפ והמסנג'ר של המוקד העירוני פועלים בימי א'–ה' בין השעות 07:00–19:00, ובסופי שבוע וחגים (כולל שבתות) בין 07:00–14:00.","על פי המסמכים שסופקו לי, אין מידע לגבי שעות הפעילות של המוקד העירוני, ולכן איני יודע לענות על שאלה זו.",0.0,0.0,0.0,1.0,0.0
מה שעות הפעילות של המוקד העירוני?,adaptive,adaptive_both,True,True,both,"מוקד עירוני 106 של עיריית חיפה פועל 24 שעות ביממה והוא זמין לדיווח על מפגעים עירוניים בכל שעות היום והלילה.

ניתן ליצור קשר עם מוקד עירוני 106 בטלפון המקוצר 106 או במספר 04-8356356, והמוקד עומד לרשות התושבים 24 שעות ביממה.

שירותי הווטסאפ והמסנג'ר של המוקד העירוני פועלים בימי א'–ה' בין השעות 07:00–19:00, ובסופי שבוע וחגים (כולל שבתות) בין 07:00–14:00.","על בסיס המידע והמסמכים שסופקו לי, לא קיים מידע הנוגע לשעות הפעילות והזמינות של המוקד העירוני 106 בחיפה, או פרטים לגבי אופן הדיווח, דרכי ההתקשרות ומענה למקרי חירום.",0.0,0.0,0.0,1.0,0.0
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,adaptive,adaptive_enrichment_only,True,False,enrichment_only,"טלפון ישיר למוקד: 106 או 04-8356356
מחוץ לחיפה 04-8356860/1/2/3

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב:

טלפון: 1-700-700-060
שעות מענה: ימים א’ – ה’ בין השעות 7:30 – 14:30.

כתובת: רח' חסן שוקרי 14 היכל העירייה, קומת כניסה, חדר 112.

מענה טלפוני: בין השעות 08:30 – 15:00.

טלפון: 04-8356865

פקס: 04-8356440","על פי המסמכים שסופקו, להלן המידע לגבי דרכי ההתקשרות עם המוקד העירוני (מוקד 106):

*   **אפליקציה:** תושבי העיר יכולים לבצע דיווח למוקד 106 דרך האפליקציה, באופן מקוון (On Line), כולל שימוש במערכת GPS.
*   **וואטסאפ (WhatsApp):** קיים שירות המיועד למספר שכונות בעיר, המאפשר פנייה ישירה לצוות מוקד 106 ודיווח על מפגעים (כולל אפשרות לצרף תמונות). **הערה:** המסמכים מציינים את קיום השירות אך אינם נוקבים במספר הוואטסאפ עצמו.
*   **אתר האינטרנט העירוני:** ניתן להעביר דיווחים על מפגעים דרך האתר, הנכנסים ישירות למערכת התפעולית.
*   **טלפון:** השירות מוזכר במסמכים בשם ""מוקד 106"" או ""מוקד עירוני 106"", אך לא מצוין מספר טלפון נוסף או מלא במסמכים אלו.

למידע נוסף מתוך המסמך הרלוונטי:
[יעדי הליבה העירוניים והעקרונות המארגנים](https://www3.haifa.muni.il/files/2018.pdf)",0.0,1.0,0.0,0.5,0.0
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,adaptive,adaptive_reranking_only,False,True,reranking_only,"טלפון ישיר למוקד: 106 או 04-8356356
מחוץ לחיפה 04-8356860/1/2/3

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב:

טלפון: 1-700-700-060
שעות מענה: ימים א’ – ה’ בין השעות 7:30 – 14:30.

כתובת: רח' חסן שוקרי 14 היכל העירייה, קומת כניסה, חדר 112.

מענה טלפוני: בין השעות 08:30 – 15:00.

טלפון: 04-8356865

פקס: 04-8356440","על בסיס המסמכים שסופקו לי, איני יודע מהו מספר הטלפון של המוקד העירוני, שכן מידע זה אינו מופיע בהם.

המסמכים כוללים מספרי טלפון של מוקדים ספציפיים בלבד (אכיפה ופיקוח לפי חלוקה לאזורים, ומספרי טלפון הקשורים לבי""ס עירוני ב').",0.0,1.0,0.0,1.0,0.0
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,adaptive,adaptive_both,True,True,both,"טלפון ישיר למוקד: 106 או 04-8356356
מחוץ לחיפה 04-8356860/1/2/3

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב:

טלפון: 1-700-700-060
שעות מענה: ימים א’ – ה’ בין השעות 7:30 – 14:30.

כתובת: רח' חסן שוקרי 14 היכל העירייה, קומת כניסה, חדר 112.

מענה טלפוני: בין השעות 08:30 – 15:00.

טלפון: 04-8356865

פקס: 04-8356440","על פי המידע המופיע במסמכים, המוקד העירוני 106 זמין 24 שעות ביממה ומיועד לדיווח על מפגעים עירוניים.

להלן מספרי הטלפון ליצירת קשר עם המוקד:
*   **טלפון ישיר:** 106 או 04-8356356.
*   **לחיוג מחוץ לחיפה:** 04-8356860/1/2/3.

כמו כן, שירותי הווטסאפ והמסנג'ר פועלים בימים א' - ה', בין השעות 07:00 - 19:00, ובסופי שבוע וחגים (כולל שבתות) בין השעות 07:00 - 14:00.

**לתשומת ליבך:** המסמכים מזכירים את קיומם של ""מוקד אכיפת הגבייה"" ו-""שירות לתושב"", אך לא מצוין במידע שסופק האם מוקד 106 מטפל ישירות בנושאי ארנונה, תשלומים ושירותי city4u, או מהם מספרי הטלפון הישירים לשירותים אלו.

למידע נוסף: [מוקדי השירות - עיריית חיפה](https://www.haifa.muni.il/resident-service/service-center/)",1.0,1.0,0.6,0.9,0.8
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,adaptive,adaptive_enrichment_only,True,False,enrichment_only,"עיריית חיפה מזמינה אתכם לדווח על מפגעים עירוניים. אנו עומדים לרשותכם 24 שעות ביממה.

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב

שירותי הווטסאפ והמסנג'ר פועלים בימי א' - ה', בין השעות 07:00 - 19:00.
בסופי שבוע וחגים (כולל שבתות), בין השעות 07:00 - 14:00.","על פי המידע המופיע במסמכים שסופקו בלבד, ניתן לפנות למוקד העירוני 106 בנושא **דיווח על מפגעים** בדרכים הבאות:

*   **אפליקציה:** תושבים יכולים לבצע דיווח למוקד 106 דרך האפליקציה (הכוללת מערכת GPS), והדיווח נקלט במערכת התפעולית באופן מקוון (On Line) [מקור 1](https://www3.haifa.muni.il/files/2018.pdf).
*   **וואטסאפ:** קיים שירות המאפשר לתושבים (צוין כי השירות הוא למספר שכונות בעיר) לפנות ישירות לצוות מוקד 106 ולדווח על מפגעים, כולל אפשרות לצרף תמונות [מקור 1](https://www3.haifa.muni.il/files/2018.pdf).
*   **אתר האינטרנט העירוני:** ניתן להעביר דיווחים על מפגעים דרך האתר [מקור 1](https://www3.haifa.muni.il/files/2018.pdf).

נושאים ספציפיים המוזכרים בטיפול האגף לביטחון ושירותי חירום הם טיפול בגרפיטי, ונדליזם ופריצות למקלטים [מקור 2](https://www.haifa.muni.il/wp-content/uploads/2025/02/תשתיות-ושירותים-עירוניים-2024.pdf).

**לגבי שאר הנושאים שציינת** (תברואה כללית, תשלום ארנונה, בירור חיובים, דוחות חניה, היתרים ומערכת city4u) וכן לגבי מספרי טלפון או קישורים לטפסים ספציפיים – **המידע אינו מופיע במסמכים שסופקו ולכן איני יודע לענות על כך.**",0.5,0.4,0.3,0.7,0.4
