query,category,strategy,expected_namespace,detected_namespace,namespace_correct,avg_score,max_score,min_score,std_score,num_results,unique_docs,doc_types,namespaces,precision,recall,accuracy,relevant_retrieved,total_relevant
איך משלמים ארנונה?,general,baseline,arnona,arnona,True,0.2952242908,0.296739548,0.289163262,0.0030305144000000173,5,4,"{""general_info"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,4
איך משלמים ארנונה?,general,sentence,arnona,arnona,True,0.4463854134,0.454236597,0.434608638,0.009615696848453767,5,3,"{""event"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,4
איך משלמים ארנונה?,general,adaptive,arnona,arnona,True,0.6712721826,0.686957598,0.664141834,0.008242047976795557,5,5,"{""pdf"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,4
מה שעות הפעילות של המוקד העירוני?,general,baseline,general,general,True,0.3206828476,0.368625194,0.287824154,0.028090987673290407,5,3,"{""general_info"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
מה שעות הפעילות של המוקד העירוני?,general,sentence,general,general,True,0.41062824259999997,0.437872,0.397162586,0.01576875569485546,5,4,"{""event"": 3, ""general_info"": 2}","{""general"": 5}",0.0,0.0,0.0,0,3
מה שעות הפעילות של המוקד העירוני?,general,adaptive,general,general,True,0.5445170762,0.553193629,0.536871135,0.005472749577302814,5,2,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,general,baseline,arnona,arnona,True,0.508119142,0.520320058,0.489817768,0.0149430092972796,5,5,"{""general_info"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,general,sentence,arnona,arnona,True,0.633798897,0.633798897,0.633798897,0.0,5,5,"{""event"": 5}","{""arnona"": 5}",1.0,1.6666666666666667,1.0,5,3
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,general,adaptive,arnona,arnona,True,0.6812347888000001,0.707154632,0.671129107,0.013829852981729396,5,3,"{""pdf"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,general,baseline,general,general,True,0.414946413,0.506968141,0.347135186,0.051885090239594776,5,4,"{""general_info"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,general,sentence,general,general,True,0.5843258738,0.612781405,0.570568502,0.017560056508793873,5,4,"{""event"": 2, ""general_info"": 3}","{""general"": 5}",0.0,0.0,0.0,0,3
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,general,adaptive,general,general,True,0.6636813759999999,0.689378738,0.654599607,0.013009710393364533,5,3,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה לשלם ארנונה — למי פונים?,general,baseline,arnona,arnona,True,0.28857635239999996,0.298308253,0.277736157,0.009005389312595037,5,4,"{""procedural"": 3, ""general_info"": 2}","{""arnona"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה לשלם ארנונה — למי פונים?,general,sentence,arnona,arnona,True,0.394204774,0.395836,0.391757935,0.001997835677580626,5,3,"{""event"": 5}","{""arnona"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה לשלם ארנונה — למי פונים?,general,adaptive,arnona,arnona,True,0.5930392386000001,0.602328837,0.583598435,0.00798135577425724,5,5,"{""pdf"": 5}","{""arnona"": 5}",0.4,0.6666666666666666,0.4,2,3
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,general,baseline,general,general,True,0.07588514906,0.122043453,0.0419195294,0.028806160794673786,5,3,"{""general_info"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,general,sentence,general,general,True,0.23475791199999999,0.26719743,0.216039211,0.01911189224651905,5,5,"{""general_info"": 4, ""event"": 1}","{""general"": 5}",0.0,0.0,0.0,0,3
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,general,adaptive,general,general,True,0.3685129464,0.385322392,0.346099973,0.01452994876259113,5,3,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",general,baseline,water,water,True,0.3493732582,0.381664097,0.300937,0.039548039213232515,5,5,"{""general_info"": 5}","{""water"": 5}",0.0,0.0,0.0,0,3
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",general,sentence,water,water,True,0.5924998642,0.624768436,0.5389359,0.03151915001476667,5,2,"{""event"": 5}","{""water"": 5}",0.0,0.0,0.0,0,3
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",general,adaptive,water,water,True,0.6793398142,0.704362333,0.665103793,0.015788286165261605,5,5,"{""pdf"": 5}","{""water"": 5}",0.0,0.0,0.0,0,3
