query,strategy,config,use_query_enhancement,use_reranking,combination,gold_answer,rag_answer,correctness,faithfulness,completeness,conciseness,overall
איך משלמים ארנונה?,sentence,sentence,False,False,baseline,"עיריית חיפה מאפשרת לשלם ארנונה בכמה דרכים: באתר אינטרנט מאובטח בתשלום בכרטיס אשראי, בהוראת קבע מכרטיס אשראי (טופס מקוון), בהוראת קבע בבנק לאחר מילוי טופס חיוב חשבון, במוקד התשלומים הטלפוני 1-700-700-060 הפועל 24/7, ובקופת העירייה ובדלפקי אגף חיובי ארנונה.

ניתן לשלם את חשבונות הארנונה גם דרך פורטל התשלומים הארצי של הרשויות המקומיות, בתשלום מאובטח באמצעות כרטיס אשראי, ללא צורך בהרשמה וללא התקנת תוכנה.

תשלום הארנונה יכול להתבצע בתשלום אחד מראש, או בהסדר של 6 תשלומים במועדים קבועים במהלך השנה (1/1, 1/3, 1/5, 1/7, 1/9, 1/11). תשלום מראש עד 31 בדצמבר של השנה הקודמת מזכה בהנחה של 2% ועד 31 בינואר של שנת הכספים מזכה בהנחה של 1%. 

המוקד הטלפוני בנושא מיסים (ארנונה, מים ואגרת שירותים בחינוך) זמין לתושבים בטלפון 1-700-700-060: המענה הקולי הממוחשב לתשלומים פעיל 24 שעות ביממה, ומענה אנושי ניתן בימים א'–ה' בין 7:30 ל-14:30.","על בסיס המידע שסופק לי במסמכים, איני יודע כיצד ניתן לשלם את הארנונה.
המסמכים הקיימים עוסקים רק בנושא **הנחות מארנונה** (קריטריונים להנחות אזרח ותיק ונכות, ותהליך חידוש ההנחה), ולא בדרכי התשלום עצמן.",0.0,0.0,0.0,1.0,0.0
מה שעות הפעילות של המוקד העירוני?,sentence,sentence,False,False,baseline,"מוקד עירוני 106 של עיריית חיפה פועל 24 שעות ביממה והוא זמין לדיווח על מפגעים עירוניים בכל שעות היום והלילה.

ניתן ליצור קשר עם מוקד עירוני 106 בטלפון המקוצר 106 או במספר 04-8356356, והמוקד עומד לרשות התושבים 24 שעות ביממה.

שירותי הווטסאפ והמסנג'ר של המוקד העירוני פועלים בימי א'–ה' בין השעות 07:00–19:00, ובסופי שבוע וחגים (כולל שבתות) בין 07:00–14:00.","על בסיס המסמכים שסופקו לי, לא קיים מידע לגבי שעות הפעילות של המוקד העירוני, ולכן איני יודע את התשובה.",0.0,1.0,0.0,1.0,0.0
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,sentence,sentence,False,False,baseline,"טלפון ישיר למוקד: 106 או 04-8356356
מחוץ לחיפה 04-8356860/1/2/3

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב:

טלפון: 1-700-700-060
שעות מענה: ימים א’ – ה’ בין השעות 7:30 – 14:30.

כתובת: רח' חסן שוקרי 14 היכל העירייה, קומת כניסה, חדר 112.

מענה טלפוני: בין השעות 08:30 – 15:00.

טלפון: 04-8356865

פקס: 04-8356440","על פי המסמכים שסופקו, לא מופיע מספר הטלפון של המוקד העירוני הכללי.

עם זאת, במסמכים מופיעים פרטי ההתקשרות עם **מוקד בירורים ותשלומים, חניה ואכיפת הגבייה**:
*   **טלפון:** 04-8357283
*   **דוא""ל:** akifathanaia@haifa.muni.il
*   **שעות קבלת קהל:** ימים א' – ה', בין השעות 8:00 – 14:00.

למידע נוסף בנושא [אישורי חניה - עיריית חיפה](https://www.haifa.muni.il/operation/parking/parking-sign/#block-module-6).",0.0,0.0,0.0,0.8,0.0
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,sentence,sentence,False,False,baseline,"עיריית חיפה מזמינה אתכם לדווח על מפגעים עירוניים. אנו עומדים לרשותכם 24 שעות ביממה.

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב

שירותי הווטסאפ והמסנג'ר פועלים בימי א' - ה', בין השעות 07:00 - 19:00.
בסופי שבוע וחגים (כולל שבתות), בין השעות 07:00 - 14:00.","על סמך המסמכים שסופקו, אין מידע לגבי אפשרויות יצירת הקשר עם המוקד העירוני או פירוט הנושאים השונים שבהם ניתן לפנות אליו.

המסמכים עוסקים בהקמת צוות אכיפה למאבק בהשחתת המרחב הציבורי [מקור 1] ובהצהרת הנגישות של אתר העירייה [מקור 3].",0.0,0.0,0.0,1.0,0.0
אם אני רוצה לשלם ארנונה — למי פונים?,sentence,sentence,False,False,baseline,"מוקד תשלומים – טלפון 1-700-700-060 (מענה אנושי: ימים א’ – ה’ בין השעות 07:30 – 14:30 | מענה ממוחשב: 24 שעות ביממה).

תשלום בהוראת קבע בבנק - יש למלא ולהחתים את סניף הבנק על טופס הוראה לחיוב חשבון הבנק.

באתר אינטרנט מאובטח - תשלום בכרטיס אשראי.","על סמך המסמכים שסופקו לי, איני יודע למי פונים לצורך ביצוע תשלום ארנונה. המידע במסמכים עוסק אך ורק בנושא [הנחות מארנונה](https://www.haifa.muni.il/resident-service/arnona/tax-rebates/) (כגון הנחת אזרח ותיק או הבטחת הכנסה).",0.0,0.0,0.0,1.0,0.0
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,sentence,sentence,False,False,baseline,"לפנות למוקד הארנונה / מוקד השירות לתושב עם פרטי הנכס והדייר החדש, כדי לעדכן את רישומי הארנונה.

אפשר לפנות באמצעות טלפון או דואר־אלקטרוני (אם קיים) לשירות הארנונה ולעדכן את שינוי המחזיק.

לפעמים יש צורך למלא טופס העברת בעלות / מחזיק — ולשלוח אותו לעירייה (פיזית או דיגיטלית).","על סמך המסמכים שסופקו לי, אין מידע לגבי אופן עדכון החלפת מחזיק בנכס. המסמכים הקיימים עוסקים במבנים לשימור ובמאבק בהשחתת המרחב הציבורי.",0.0,0.0,0.0,1.0,0.0
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",sentence,sentence,False,False,baseline,"לפנות למוקד שירות / פניות הציבור של העירייה באמצעות טלפון או פקס/דוא״ל במידה ופורסם.

ניתן להגיע למשרדי השירות לתושב (או למרכז השירות) במקום — כדי לדבר עם נציג פנים אל פנים.

ניתן להגיש פנייה מקוונת (באמצעות טופס באתר) או לפתוח קריאה בדיווח ממערכת העירייה.","על סמך המסמכים שסופקו, אין מידע לגבי אופן הפנייה לשירותי תלונות כלליים או פניות ציבור (שאינן קשורות לרווחה).

עם זאת, לגבי **שירותים חברתיים ושירותים בקהילה**, ניתן לפנות באופן הבא:

*   **פנייה כללית לשירותי רווחה:** כל תושב המבקש ייעוץ לשיפור איכות חייו ורווחתו, יכול לפנות ל**עובד/ת הסוציאלי/ת באזור מגוריו**. הפנייה מיועדת לקבלת ייעוץ, תמיכה וטיפול בנושאים כגון קשיים כלכליים, ירידה בתפקוד, יחסים במשפחה, סידור בבית אבות ועוד.
    למידע נוסף: [שירותים חברתיים ושירותים בקהילה - עיריית חיפה](https://www.haifa.muni.il/welfare-and-community/senior-citizens/senior-citizens-guide/community/)

*   **פנייה בנושא אלימות:** בכל מחלקה לשירותים חברתיים אזורית ישנו/ה עובד/ת סוציאלי/ת ייעודי/ת לטיפול באלימות במשפחה (פיזית, נפשית, כלכלית וכו').
    למידע נוסף: [שירותים חברתיים ושירותים בקהילה - עיריית חיפה](https://www.haifa.muni.il/welfare-and-community/senior-citizens/senior-citizens-guide/community/)

*   **המחלקה לשירותים חברתיים – הדר ועיר:** עבור תושבי אזור זה, קיימת מחלקה המפעילה תוכניות ייחודיות, כולל תוכנית ""נושמים לרווחה"" למשפחות בעוני, ומרכזים לגיל הרך ולמגזר החרדי.
    למידע נוסף: [המחלקה לשירותים חברתיים – הדר ועיר - עיריית חיפה](https://www.haifa.muni.il/welfare-and-community/hadar/)

*   **פנייה לגופים חיצוניים ושירותים משלימים (כפי שצוין במסמכים):**
    *   **עמותת שילה:** 04-8384335
    *   **חברת נטלי (לחצני מצוקה/שירותים):** 1-800-555-222
    *   **אנוש:** 1-700-700-113
    *   **יד שרה:** 6444*
    למידע נוסף: [שירותים חברתיים ושירותים בקהילה - עיריית חיפה](https://www.haifa.muni.il/welfare-and-community/senior-citizens/senior-citizens-guide/community/)",0.2,0.1,0.2,0.4,0.1
"אם קיבלתי דוח פיקוח (חניה, פסולת, קנס וכו׳) — איך משלמים או מערערים?",sentence,sentence,False,False,baseline,"ניתן לשלם את הדוח דרך מוקד התשלומים של העירייה, בטלפון או באתר.

ש אפשרות לערער על הדוח — באמצעות מוקד האכיפה או הפניות המתאימות, לפי הנחיות העירייה.

אפשר להגיע אישית למחלקת אכיפה או שירות לתושב כדי לברר או להגיש בקשה לערעור.","על פי המידע במסמכים שסופקו לי, איני יודע מהו ההליך לערעור על דוחות או מהן כל דרכי התשלום הזמינות (כגון תשלום מקוון או טלפוני).

עם זאת, על פי [מקור 3], מתואר מקרה בו תושב שילם דוח חניה באופן פיזי ב**קופות עיריית חיפה**, כך שניתן להסיק שזוהי אחת מדרכי התשלום.

קישור למקור המזכיר את התשלום בקופות:
https://www.haifa.muni.il/article/%d7%9b%d7%a1%d7%a3-%d7%a7%d7%98%d7%9f-%d7%98%d7%a8%d7%97%d7%94-%d7%92%d7%93%d7%95%d7%9c%d7%94-%d7%aa%d7%95%d7%a9%d7%91-%d7%a9%d7%99%d7%9c%d7%9d-%d7%93%d7%95%d7%97-%d7%a9%d7%9c-975-%d7%a9%d7%a7%d7%9c/",1.0,0.9,0.2,0.4,0.2
"איך מקבלים מידע על חינוך, גני ילדים ותכניות לימוד?",sentence,sentence,False,False,baseline,"לפנות למוקד השירות לתושב לשאלות חינוך.

לבדוק באתר העירייה את החלק המוקדש לחינוך וגני ילדים.

לפנות למחלקת החינוך העירונית כדי לקבל מענה אישי.","על סמך המסמכים שסופקו, **אין מידע** הנוגע למערכת החינוך הפורמלית או לרישום לגני ילדים.

עם זאת, בנוגע ל**תכניות לימוד והעשרה**, מוזכר במסמכים כי **מרכז קהילתי בית יד לבנים** מציע לימודים רב-תחומיים ולימודי ידיעת הארץ, וכן מערכת חוגים והרצאות.

לקבלת מידע על פעילויות אלו ניתן לפנות למרכז הקהילתי:
*   **כתובת:** רח' הירקון 48
*   **טלפון:** 04-8254386
*   **אימייל:** beityad@haifa.muni

למידע נוסף: [מרכז קהילתי בית יד לבנים - עיריית חיפה](https://www.haifa.muni.il/place/community-center-yad-labanim/)",0.0,0.0,0.0,1.0,0.0
איך מזמינים תור מראש לשירותים כמו ארנונה או שירותים אחרים?,sentence,sentence,False,False,baseline,"אפשר להזמין תור דרך האתר.

יתן להזמין תור בטלפון למוקד השירות לתושב.

להגיע למרכז השירות ולבדוק זמינות פגישה במקום.","על סמך המסמכים שסופקו לי, אין בידי מידע לגבי אופן הזמנת תור מראש לשירותי הארנונה או לשירותים אחרים.

המידע המצוי במסמכים עוסק בזכאות להנחות בארנונה לחיילים ומתנדבים בשירות לאומי, וכן בפעילות תחנות ההצלה בחורף.",0.0,1.0,0.0,1.0,0.0
