query,strategy,config,use_query_enhancement,use_reranking,combination,gold_answer,rag_answer,correctness,faithfulness,completeness,conciseness,overall
איך משלמים ארנונה?,adaptive,adaptive,False,False,baseline,"עיריית חיפה מאפשרת לשלם ארנונה בכמה דרכים: באתר אינטרנט מאובטח בתשלום בכרטיס אשראי, בהוראת קבע מכרטיס אשראי (טופס מקוון), בהוראת קבע בבנק לאחר מילוי טופס חיוב חשבון, במוקד התשלומים הטלפוני 1-700-700-060 הפועל 24/7, ובקופת העירייה ובדלפקי אגף חיובי ארנונה.

ניתן לשלם את חשבונות הארנונה גם דרך פורטל התשלומים הארצי של הרשויות המקומיות, בתשלום מאובטח באמצעות כרטיס אשראי, ללא צורך בהרשמה וללא התקנת תוכנה.

תשלום הארנונה יכול להתבצע בתשלום אחד מראש, או בהסדר של 6 תשלומים במועדים קבועים במהלך השנה (1/1, 1/3, 1/5, 1/7, 1/9, 1/11). תשלום מראש עד 31 בדצמבר של השנה הקודמת מזכה בהנחה של 2% ועד 31 בינואר של שנת הכספים מזכה בהנחה של 1%. 

המוקד הטלפוני בנושא מיסים (ארנונה, מים ואגרת שירותים בחינוך) זמין לתושבים בטלפון 1-700-700-060: המענה הקולי הממוחשב לתשלומים פעיל 24 שעות ביממה, ומענה אנושי ניתן בימים א'–ה' בין 7:30 ל-14:30.","על סמך המסמכים שסופקו, להלן הדרכים וההסדרים לתשלום הארנונה בעיריית חיפה:

*   **הוראת קבע:** ניתן לשלם את הארנונה בהוראת קבע בפריסה של עד 12 תשלומים. הרשות המקומית רשאית לקבוע הנחה של עד 2% מסכום הארנונה למשלמים בדרך זו.
    מקורות: [פרוטוקול המועצה צו מיסים 2023](https://www.haifa.muni.il/wp-content/uploads/2021/08/פרוטוקול-המועצה-צו-מיסים-2023.pdf), [הנחות ופטורים מארנונה](https://www.haifa.muni.il/wp-content/uploads/2021/08/הנחות-ופטורים-מארנונה.pdf)

*   **תשלום בשישה תשלומים:** ניתן לשלם את הארנונה בשישה תשלומים, המתבצעים בתחילת כל חודש אי-זוגי.
    מקור: [פרוטוקול המועצה צו מיסים 2023](https://www.haifa.muni.il/wp-content/uploads/2021/08/פרוטוקול-המועצה-צו-מיסים-2023.pdf)

*   **תשלום מוקדם:** מי שמשלם את הארנונה עד ה-31 בינואר (על פי הפרוטוקול המתייחס לשנת 2023) זכאי להנחה בשיעור של 1%.
    מקור: [פרוטוקול המועצה צו מיסים 2023](https://www.haifa.muni.il/wp-content/uploads/2021/08/פרוטוקול-המועצה-צו-מיסים-2023.pdf)

כל תשלום שלא ישולם במועדו יישא הפרשי הצמדה וריבית בהתאם לחוק.",0.6,0.4,0.3,0.9,0.4
מה שעות הפעילות של המוקד העירוני?,adaptive,adaptive,False,False,baseline,"מוקד עירוני 106 של עיריית חיפה פועל 24 שעות ביממה והוא זמין לדיווח על מפגעים עירוניים בכל שעות היום והלילה.

ניתן ליצור קשר עם מוקד עירוני 106 בטלפון המקוצר 106 או במספר 04-8356356, והמוקד עומד לרשות התושבים 24 שעות ביממה.

שירותי הווטסאפ והמסנג'ר של המוקד העירוני פועלים בימי א'–ה' בין השעות 07:00–19:00, ובסופי שבוע וחגים (כולל שבתות) בין 07:00–14:00.","על בסיס המסמכים שסופקו, איני יודע מהן שעות הפעילות של המוקד העירוני, שכן מידע זה אינו מופיע בהם.",0.0,0.0,0.0,1.0,0.0
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,adaptive,adaptive,False,False,baseline,"טלפון ישיר למוקד: 106 או 04-8356356
מחוץ לחיפה 04-8356860/1/2/3

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב:

טלפון: 1-700-700-060
שעות מענה: ימים א’ – ה’ בין השעות 7:30 – 14:30.

כתובת: רח' חסן שוקרי 14 היכל העירייה, קומת כניסה, חדר 112.

מענה טלפוני: בין השעות 08:30 – 15:00.

טלפון: 04-8356865

פקס: 04-8356440","על פי המסמכים שסופקו לי, לא מופיע מספר הטלפון של המוקד העירוני של עיריית חיפה.

המידע במסמכים כולל מספרי טלפון הקשורים לבית הספר עירוני ב' ולעמותה לתמיכה בישיבת בני עקיבא, אך לא את מספר המוקד העירוני הכללי.",0.0,0.0,0.0,1.0,0.0
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,adaptive,adaptive,False,False,baseline,"עיריית חיפה מזמינה אתכם לדווח על מפגעים עירוניים. אנו עומדים לרשותכם 24 שעות ביממה.

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב

שירותי הווטסאפ והמסנג'ר פועלים בימי א' - ה', בין השעות 07:00 - 19:00.
בסופי שבוע וחגים (כולל שבתות), בין השעות 07:00 - 14:00.","על סמך המסמכים שסופקו לי, איני יודע את התשובה לשאלה זו. המסמכים מכילים מידע הנוגע לחלוקה גיאוסטטיסטית ומפות העיר בלבד, ואינם מזכירים את המוקד העירוני או דרכי יצירת קשר עמו.",0.0,0.0,0.0,1.0,0.0
אם אני רוצה לשלם ארנונה — למי פונים?,adaptive,adaptive,False,False,baseline,"מוקד תשלומים – טלפון 1-700-700-060 (מענה אנושי: ימים א’ – ה’ בין השעות 07:30 – 14:30 | מענה ממוחשב: 24 שעות ביממה).

תשלום בהוראת קבע בבנק - יש למלא ולהחתים את סניף הבנק על טופס הוראה לחיוב חשבון הבנק.

באתר אינטרנט מאובטח - תשלום בכרטיס אשראי.","על סמך המסמכים שסופקו, לא מצוין גורם ספציפי (כגון שם מחלקה, מספר טלפון או קישור לתשלום) אליו יש לפנות לצורך תשלום הארנונה.

עם זאת, המסמכים מפרטים את אפשרויות התשלום הקיימות:
*   ניתן לשלם את הארנונה בשישה תשלומים, בתחילת כל חודש אי-זוגי.
*   ניתן לשלם בהוראת קבע עד 12 תשלומים.

מקורות:
[פרוטוקול המועצה צו מיסים 2023](https://www.haifa.muni.il/wp-content/uploads/2021/08/פרוטוקול-המועצה-צו-מיסים-2023.pdf)
[פרוטוקול מיום 28.6.22 צו המיסים PDFUA](https://www.haifa.muni.il/wp-content/uploads/2022/07/פרוטוקול-מיום-28.6.22-צו-המיסים-PDFUA.pdf)",0.0,0.0,0.0,0.7,0.0
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,adaptive,adaptive,False,False,baseline,"לפנות למוקד הארנונה / מוקד השירות לתושב עם פרטי הנכס והדייר החדש, כדי לעדכן את רישומי הארנונה.

אפשר לפנות באמצעות טלפון או דואר־אלקטרוני (אם קיים) לשירות הארנונה ולעדכן את שינוי המחזיק.

לפעמים יש צורך למלא טופס העברת בעלות / מחזיק — ולשלוח אותו לעירייה (פיזית או דיגיטלית).","על סמך המידע המופיע במסמכים שסופקו לי, איני יודע כיצד מעדכנים החלפת מחזיק בנכס.

המסמכים שברשותי עוסקים בדוחות כספיים, נתונים אדריכליים והנחיות להצבת שילוט בפרויקטים של התחדשות עירונית, ואינם מכילים מידע לגבי נהלי עדכון מחזיקים או ארנונה.",1.0,1.0,0.0,1.0,0.0
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",adaptive,adaptive,False,False,baseline,"לפנות למוקד שירות / פניות הציבור של העירייה באמצעות טלפון או פקס/דוא״ל במידה ופורסם.

ניתן להגיע למשרדי השירות לתושב (או למרכז השירות) במקום — כדי לדבר עם נציג פנים אל פנים.

ניתן להגיש פנייה מקוונת (באמצעות טופס באתר) או לפתוח קריאה בדיווח ממערכת העירייה.","על סמך המסמכים שסופקו, אין מידע לגבי אופן הפנייה לשירותים כלליים, הגשת תלונות או ביצוע פניות (כגון מספרי טלפון, טפסים או דוא""ל).

המסמכים מתארים כי מערכת שירותי הרווחה והשירותים החברתיים פועלת לפיתוח מענים כגון מרכז/מוקד תעסוקה עירוני ומספקת מענה במצבי משבר וחירום, אך לא מפורט כיצד התושב יכול ליצור קשר לקבלת שירותים אלו.",0.0,0.0,0.0,1.0,0.0
"אם קיבלתי דוח פיקוח (חניה, פסולת, קנס וכו׳) — איך משלמים או מערערים?",adaptive,adaptive,False,False,baseline,"ניתן לשלם את הדוח דרך מוקד התשלומים של העירייה, בטלפון או באתר.

ש אפשרות לערער על הדוח — באמצעות מוקד האכיפה או הפניות המתאימות, לפי הנחיות העירייה.

אפשר להגיע אישית למחלקת אכיפה או שירות לתושב כדי לברר או להגיש בקשה לערעור.","על בסיס המסמכים שסופקו לי, איני יודע כיצד ניתן לשלם או לערער על דוח פיקוח או חניה. המידע הקיים במסמכים מתייחס רק לשמו של חוק העזר ולשברי משפטים הנוגעים לסכומים או שנים, אך אינו כולל הנחיות ביצועיות לתשלום או הגשת ערעור.",0.0,0.0,0.0,1.0,0.0
"איך מקבלים מידע על חינוך, גני ילדים ותכניות לימוד?",adaptive,adaptive,False,False,baseline,"לפנות למוקד השירות לתושב לשאלות חינוך.

לבדוק באתר העירייה את החלק המוקדש לחינוך וגני ילדים.

לפנות למחלקת החינוך העירונית כדי לקבל מענה אישי.","על סמך המסמכים שסופקו, לא מופיע מידע כללי על דרכי יצירת הקשר לקבלת מידע נרחב בנושאי חינוך ורישום. עם זאת, קיים במסמכים מידע נקודתי בנושאים הבאים:

1.  **גני ילדים (תל""ן):** הוחלט לאשר תוספת תקציב עבור תוכנית לימודים נוספת (תל""ן) בגני ילדים במימון מלא של ההורים, כאשר העירייה תישא במימון הביניים. לפרטים נוספים ניתן לעיין ב[סיכום החלטות 35 מונגש](https://www.haifa.muni.il/wp-content/uploads/2023/01/סיכום-החלטות-35-מונגש.pdf).
2.  **סדנאות וקריירה:** ניתן לקבל מידע על סדנאות לשיפור קורות חיים, הכנה לראיונות עבודה ותוכנית ""בורלא עד הפקולטה"" המגיעה לאוניברסיטת חיפה ולטכניון, דרך המרכז [בורלא 17 - החממה לקריירה](https://www.haifa.muni.il/article/burla17/).
3.  **מחקר אקדמי:** חוקרים וסטודנטים יכולים להיעזר באוספים ובמסמכים של [המרכז לחקר המורשת הבנויה – הטכניון](https://www.haifa.muni.il/place/%d7%94%d7%9e%d7%a8%d7%9b%d7%96-%d7%9c%d7%97%d7%a7%d7%a8-%d7%94%d7%9e%d7%95%d7%a8%d7%a9%d7%aa-%d7%94%d7%91%d7%a0%d7%95%d7%99%d7%94-%d7%94%d7%98%d7%9b%d7%a0%d7%99%d7%95%d7%9f/).",0.2,0.0,0.0,0.1,0.1
איך מזמינים תור מראש לשירותים כמו ארנונה או שירותים אחרים?,adaptive,adaptive,False,False,baseline,"אפשר להזמין תור דרך האתר.

יתן להזמין תור בטלפון למוקד השירות לתושב.

להגיע למרכז השירות ולבדוק זמינות פגישה במקום.","על בסיס המסמכים שסופקו, איני יודע כיצד מזמינים תור מראש לשירותים אלו.

המסמכים מציינים כי ניתן שירות בנושא ארנונה ואגרות חינוך, מים וחילופי מחזיק במרכז השירות לתושב, אך המידע עוסק בבדיקת עומסים וזמני קבלת קהל ולא באופן זימון התורים [מקור 3](https://www.haifa.muni.il/wp-content/uploads/2025/05/2014.pdf).",0.0,0.0,0.0,1.0,0.0
